AW,NAME,Sym
1.0079,Hydrogen,H
4.0026,Helium,He
6.941,Lithium,Li
9.0122,Beryllium,Be
10.811,Boron,B
12.0107,Carbon,C
14.0067,Nitrogen,N
15.9994,Oxygen,O
18.9984,Fluorine,F
20.1797,Neon,Ne
22.9897,Sodium,Na
24.305,Magnesium,Mg
26.9815,Aluminum,Al
28.0855,Silicon,Si
30.9738,Phosphorus,P
32.065,Sulfur,S
35.453,Chlorine,Cl
39.948,Argon,Ar
39.0983,Potassium,K
40.078,Calcium,Ca
44.9559,Scandium,Sc
47.867,Titanium,Ti
50.9415,Vanadium,V
51.9961,Chromium,Cr
54.938,Manganese,Mn
55.845,Iron,Fe
58.9332,Cobalt,Co
58.6934,Nickel,Ni
63.546,Copper,Cu
65.39,Zinc,Zn
69.723,Gallium,Ga
72.64,Germanium,Ge
74.9216,Arsenic,As
78.96,Selenium,Se
79.904,Bromine,Br
83.8,Krypton,Kr
85.4678,Rubidium,Rb
87.62,Strontium,Sr
88.9059,Yttrium,Y
91.224,Zirconium,Zr
92.9064,Niobium,Nb
95.94,Molybdenum,Mo
98,Technetium,Tc
101.07,Ruthenium,Ru
102.9055,Rhodium,Rh
106.42,Palladium,Pd
107.8682,Silver,Ag
112.411,Cadmium,Cd
114.818,Indium,In
118.71,Tin,Sn
121.76,Antimony,Sb
127.6,Tellurium,Te
126.9045,Iodine,I
131.293,Xenon,Xe
132.9055,Cesium,Cs
137.327,Barium,Ba
138.9055,Lanthanum,La
140.116,Cerium,Ce
140.9077,Praseodymium,Pr
144.24,Neodymium,Nd
145,Promethium,Pm
150.36,Samarium,Sm
151.964,Europium,Eu
157.25,Gadolinium,Gd
158.9253,Terbium,Tb
162.5,Dysprosium,Dy
164.9303,Holmium,Ho
167.259,Erbium,Er
168.9342,Thulium,Tm
173.04,Ytterbium,Yb
174.967,Lutetium,Lu
178.49,Hafnium,Hf
180.9479,Tantalum,Ta
183.84,Tungsten,W
186.207,Rhenium,Re
190.23,Osmium,Os
192.217,Iridium,Ir
195.078,Platinum,Pt
196.9665,Gold,Au
200.59,Mercury,Hg
204.3833,Thallium,Tl
207.2,Lead,Pb
208.9804,Bismuth,Bi
209,Polonium,Po
210,Astatine,At
222,Radon,Rn
223,Francium,Fr
226,Radium,Ra
227,Actinium,Ac
232.0381,Thorium,Th
231.0359,Protactinium,Pa
238.0289,Uranium,U
237,Neptunium,Np
244,Plutonium,Pu
243,Americium,Am
247,Curium,Cm
247,Berkelium,Bk
251,Californium,Cf
252,Einsteinium,Es
257,Fermium,Fm
258,Mendelevium,Md
259,Nobelium,No
262,Lawrencium,Lr
261,Rutherfordium,Rf
262,Dubnium,Db
266,Seaborgium,Sg
264,Bohrium,Bh
277,Hassium,Hs
268,Meitnerium,Mt
